MIN,TOV,RANK,REB,PLAYER_ID,FG3A,AST,FG3M,OREB,FGM,TEAM,PTS,FGA,GP,STL,FTA,PLAYER,BLK,DREB,FTM,EFF,FT_PCT,FG_PCT,FG3_PCT
35.8,1.72,25,3.9,202340,6.3,2.3,2.2,1.0,6.7,BOS,16.7,15.1,18,1.28,1.5,Avery Bradley,0.17,2.9,1.2,13.9,0.778,0.441,0.351
33.6,1.75,26,7.4,200746,0.9,1.5,0.1,2.7,6.9,SAS,16.5,15.0,16,0.63,3.4,LaMarcus Aldridge,1.0,4.8,2.6,16.4,0.764,0.458,0.143
26.8,1.0,27,5.3,202362,4.5,2.8,1.8,0.3,6.8,IND,16.0,13.3,4,0.5,1.0,Lance Stephenson,0.0,5.0,0.8,16.8,0.75,0.509,0.389
37.5,2.13,28,3.1,200768,4.8,5.9,1.6,0.4,5.4,TOR,15.8,11.6,8,1.5,4.1,Kyle Lowry,0.5,2.8,3.4,17.6,0.818,0.462,0.342
35.1,1.63,29,4.1,201588,3.9,3.6,1.5,1.0,5.8,UTA,15.6,12.3,8,0.25,3.6,George Hill,0.13,3.1,2.6,14.6,0.724,0.469,0.387
37.7,2.43,30,14.4,201599,0.1,0.7,0.0,3.6,6.1,LAC,15.4,8.7,7,0.43,8.0,DeAndre Jordan,0.86,10.9,3.1,22.0,0.393,0.705,0.0
33.9,1.83,31,6.6,201143,2.9,5.4,1.5,1.7,6.2,BOS,15.1,10.6,18,0.83,1.6,Al Horford,0.78,4.8,1.2,22.0,0.759,0.584,0.519
31.7,1.67,32,5.0,2548,2.8,4.0,1.0,1.0,5.3,CHI,15.0,14.3,6,0.83,3.5,Dwyane Wade,1.33,4.0,3.3,15.3,0.952,0.372,0.353
35.1,1.41,32,3.9,202691,6.2,2.1,2.4,0.6,5.5,GSW,15.0,13.9,17,0.82,1.9,Klay Thompson,0.29,3.2,1.5,11.8,0.788,0.397,0.387
38.5,1.83,34,4.7,203114,3.2,5.3,1.2,0.0,5.2,MIL,14.5,13.0,6,2.0,3.7,Khris Middleton,0.0,4.7,3.0,16.2,0.818,0.397,0.368
30.7,1.1,35,6.5,201586,3.8,1.4,1.2,0.9,6.0,TOR,14.3,13.0,10,0.4,1.3,Serge Ibaka,1.7,5.6,1.1,16.0,0.846,0.462,0.316
33.1,0.67,36,6.4,203109,4.9,2.7,1.7,1.1,4.8,BOS,13.6,11.1,18,1.06,2.7,Jae Crowder,0.33,5.3,2.2,16.7,0.833,0.435,0.352
23.5,1.83,37,7.3,202328,0.0,1.7,0.0,2.8,4.5,MIL,13.2,8.5,6,1.33,5.0,Greg Monroe,0.5,4.5,4.2,17.3,0.833,0.529,0.0
31.8,1.17,37,8.2,2216,1.2,0.7,0.2,1.5,5.8,MEM,13.2,13.8,6,0.83,1.8,Zach Randolph,0.33,6.7,1.3,13.5,0.727,0.422,0.143
34.9,2.12,39,9.1,203110,4.6,6.5,1.9,1.2,4.2,GSW,13.1,9.5,17,1.82,3.9,Draymond Green,1.65,7.9,2.7,23.5,0.687,0.447,0.41
