MIN,TOV,RANK,REB,PLAYER_ID,FG3A,AST,FG3M,OREB,FGM,TEAM,PTS,FGA,GP,STL,FTA,PLAYER,BLK,DREB,FTM,EFF,FT_PCT,FG_PCT,FG3_PCT
22.2,0.6,68,3.8,203924,1.2,0.8,0.4,1.4,3.8,OKC,9.2,6.2,5,0.2,1.4,Jerami Grant,0.4,2.4,1.2,11.2,0.857,0.613,0.333
19.2,1.22,69,3.2,203482,2.6,1.9,0.8,0.8,3.6,BOS,9.2,6.9,18,0.72,1.7,Kelly Olynyk,0.78,2.4,1.2,10.7,0.733,0.512,0.319
32.5,1.67,69,3.3,1713,3.3,1.5,1.3,0.7,3.3,MEM,9.2,7.0,6,0.33,1.2,Vince Carter,0.0,2.7,1.2,9.0,1.0,0.476,0.4
29.4,1.86,71,1.7,200755,3.7,0.9,1.3,0.0,2.7,LAC,9.1,7.1,7,0.29,2.9,JJ Redick,0.0,1.7,2.4,5.3,0.85,0.38,0.346
30.5,2.0,72,4.3,1627763,3.5,3.5,1.7,0.5,3.7,MIL,9.0,9.2,6,0.5,0.0,Malcolm Brogdon,0.33,3.8,0.0,10.2,0.0,0.4,0.476
25.2,0.91,73,2.7,203918,4.5,1.1,1.2,0.1,3.4,UTA,8.9,9.5,11,0.45,1.6,Rodney Hood,0.0,2.6,1.0,5.5,0.611,0.352,0.26
20.3,0.62,74,4.3,202711,3.5,0.7,1.2,0.8,2.8,WAS,8.8,6.7,13,0.46,2.5,Bojan Bogdanovic,0.08,3.5,2.1,9.5,0.844,0.414,0.356
27.0,0.67,75,5.0,202703,5.8,1.5,1.7,0.7,2.8,CHI,8.7,8.3,6,0.67,1.7,Nikola Mirotic,0.5,4.3,1.3,9.8,0.8,0.34,0.286
29.9,2.11,76,4.7,203935,4.1,4.7,1.6,1.3,2.6,BOS,8.6,7.4,18,1.5,2.8,Marcus Smart,0.89,3.4,1.8,12.5,0.64,0.351,0.397
26.5,1.17,77,4.2,203516,3.2,1.2,1.0,1.3,2.7,MEM,8.3,6.3,6,0.83,2.3,James Ennis III,0.33,2.8,2.0,9.7,0.857,0.421,0.316
31.2,1.17,78,8.3,202684,0.0,1.4,0.0,3.8,3.0,CLE,8.2,5.1,18,0.5,3.3,Tristan Thompson,0.72,4.5,2.2,14.8,0.667,0.587,0.0
31.5,1.31,79,11.0,101162,0.0,1.8,0.0,4.0,3.6,WAS,8.1,7.2,13,0.38,1.4,Marcin Gortat,1.54,7.0,0.8,17.5,0.611,0.505,0.0
27.1,0.67,80,2.3,2747,4.4,0.7,2.2,0.3,2.8,CLE,8.1,5.5,18,0.72,0.6,JR Smith,0.33,2.1,0.3,8.4,0.455,0.505,0.5
26.2,1.83,81,10.7,2730,0.0,1.3,0.0,3.0,3.0,ATL,8.0,6.0,6,1.0,3.2,Dwight Howard,0.83,7.7,2.0,15.8,0.632,0.5,0.0
31.4,0.8,81,6.8,203500,0.0,1.4,0.0,3.4,3.6,OKC,8.0,5.6,5,1.2,2.2,Steven Adams,1.8,3.4,0.8,15.0,0.364,0.643,0.0
21.2,1.4,83,2.1,202709,2.2,3.1,0.9,0.4,3.1,TOR,7.9,7.1,10,0.4,0.8,Cory Joseph,0.2,1.7,0.8,8.3,1.0,0.437,0.409
27.3,1.06,84,3.6,201980,4.8,1.4,1.6,0.8,2.8,SAS,7.8,6.9,16,0.63,0.9,Danny Green,0.94,2.8,0.5,8.8,0.571,0.405,0.342
